ordem,vertice,lat,long,azimute,distancia,confrontante,matricula_conf,cns_conf
52,SHLX-P-2403,"9°12'46,508""","35°22'15,160""",271°52',20.68,FAZENDA FELIPA,R-3009,00.326-9
53,SHLX-P-2404,"9°12'46,486""","35°22'15,837""",256°21',25.20,FAZENDA FELIPA,R-3009,00.326-9
54,SHLX-P-2405,"9°12'46,679""","35°22'16,639""",250°31',63.01,FAZENDA FELIPA,R-3009,00.326-9
55,SHLX-P-2406,"9°12'47,363""","35°22'18,585""",249°16',16.18,FAZENDA FELIPA,R-3009,00.326-9
56,SHLX-P-2407,"9°12'47,550""","35°22'19,081""",237°14',25.03,FAZENDA FELIPA,R-3009,00.326-9
57,SHLX-P-2408,"9°12'47,990""","35°22'19,771""",260°27',19.74,FAZENDA FELIPA,R-3009,00.326-9
58,SHLX-P-2409,"9°12'48,097""","35°22'20,408""",247°11',32.94,FAZENDA FELIPA,R-3009,00.326-9
59,SHLX-P-2410,"9°12'48,512""","35°22'21,403""",257°08',58.87,FAZENDA FELIPA,R-3009,00.326-9
60,SHLX-P-2411,"9°12'48,938""","35°22'23,283""",257°13',39.77,FAZENDA FELIPA,R-3009,00.326-9
61,SHLX-P-2412,"9°12'49,224""","35°22'24,553""",253°03',80.51,FAZENDA FELIPA,R-3009,00.326-9
62,SHLX-M-0135,"9°12'49,988""","35°22'27,076""",338°49',278.49,FAZENDA CASTELO I,2122,00.326-9
63,SHLX-P-2413,"9°12'41,536""","35°22'30,372""",340°33',164.20,FAZENDA CASTELO I,2122,00.326-9
64,SHLX-P-2414,"9°12'36,496""","35°22'32,162""",327°53',138.26,FAZENDA CASTELO I,2122,00.326-9
65,LADU-M-0013,"9°12'32,684""","35°22'34,569""",94°58',274.27,FAZENDA ÁGUA PRETA – 02,2122,00.326-9
66,LADU-M-0014,"9°12'33,458""","35°22'25,618""",355°39',76.60,FAZENDA ÁGUA PRETA – 02,2122,00.326-9
67,LADU-P-0342,"9°12'30,972""","35°22'25,808""",04°39',24.81,FAZENDA ÁGUA PRETA – 02,2122,00.326-9
68,LADU-M-0015,"9°12'30,167""","35°22'25,742""",101°32',809.54,FAZENDA ÁGUA PRETA – 02,2122,00.326-9
69,LADU-M-0016,"9°12'35,435""","35°21'59,758""",11°31',99.96,FAZENDA ÁGUA PRETA – 02,2122,00.326-9
70,LADU-M-0017,"9°12'32,247""","35°21'59,104""",281°32',1290.83,FAZENDA ÁGUA PRETA – 02,2122,00.326-9
71,SHLX-P-2416,"9°12'23,836""","35°22'40,533""",324°25',193.52,FAZENDA CASTELO I,2122,00.326-9
72,SHLX-P-2417,"9°12'18,713""","35°22'44,221""",328°23',166.55,FAZENDA CASTELO I,2122,00.326-9
73,SHLX-P-2418,"9°12'14,096""","35°22'47,081""",325°30',252.62,FAZENDA CASTELO I,2122,00.326-9
74,SHLX-P-2419,"9°12'07,318""","35°22'51,767""",327°09',207.60,FAZENDA CASTELO I,2122,00.326-9
75,SHLX-M-0136,"9°12'01,641""","35°22'55,454""",87°14',127.23,FAZENDA BOA SORTE,,
76,SHLX-M-1468,"9°12'01,441""","35°22'51,291""",82°16',122.33,FAZENDA BOA SORTE,,
77,SHLX-P-2420,"9°12'00,907""","35°22'47,321""",90°18',395.13,FAZENDA BOA SORTE,,
78,A2F-M-6378,"9°12'00,977""","35°22'34,377""",87°49',253.00,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
79,A2F-M-6377,"9°12'00,665""","35°22'26,095""",47°20',133.22,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
80,A2F-M-6379,"9°11'57,726""","35°22'22,886""",15°45',79.97,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
81,A2F-M-6376,"9°11'55,221""","35°22'22,175""",62°28',192.45,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
82,A2F-M-6412,"9°11'52,326""","35°22'16,584""",89°02',59.65,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
83,A2F-M-I6314,"9°11'52,294""","35°22'14,631""",67°55',130.71,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
